31,2,0.29,0.188,-0.102,0.089,0.277,0.188,0.071,0.936,0.865,0.328,0,-0.328,0.33,0.202,-0.128,0.05,0.811,0.761,0.096,0.147,0.051,0.097,0.598,0.501,0.087,0.833,0.746,0.093,0.276,0.183,0.099,0.174,0.075,0.125
31,3,0.27,0.162,-0.108,0.116,0.311,0.195,0.078,1.122,1.044,0.267,0,-0.267,0.269,0.12,-0.149,0.052,0.592,0.54,0.1,0.146,0.046,0.107,0.374,0.267,0.094,0.552,0.458,0.091,0.359,0.268,0.107,0.191,0.084,0.11
31,4,0.275,0.172,-0.103,0.092,0.319,0.227,0.073,1.482,1.409,0.33,0,-0.33,0.332,0.193,-0.139,0.079,0.683,0.604,0.117,0.164,0.047,0.109,0.389,0.28,0.092,1.203,1.111,0.102,0.282,0.18,0.083,0.145,0.062,0.101
31,5,0.351,0.18,-0.171,0.138,0.442,0.304,0.098,0.946,0.848,0.745,0,-0.745,0.747,0.489,-0.258,0.109,0.642,0.533,0.091,0.124,0.033,0.097,0.398,0.301,0.104,1.041,0.937,0.096,0.242,0.146,0.115,0.174,0.059,0.11
31,7,0.664,0.446,-0.218,0.095,1.005,0.91,0.112,0.731,0.619,1.167,0,-1.167,1.169,0.97,-0.199,0.084,1.005,0.921,0.065,0.152,0.087,0.076,0.588,0.512,0.088,0.896,0.808,0.083,0.371,0.288,0.081,0.171,0.09,0.089
31,8,0.424,0.287,-0.137,0.085,0.499,0.414,0.071,0.97,0.899,0.748,0,-0.748,0.75,0.593,-0.157,0.063,0.633,0.57,0.081,0.205,0.124,0.073,0.345,0.272,0.092,0.374,0.282,0.1,0.305,0.205,0.086,0.264,0.178,0.117
31,9,0.472,0.348,-0.124,0.081,0.563,0.482,0.094,0.687,0.593,0.679,0,-0.679,0.681,0.461,-0.22,0.099,0.624,0.525,0.087,0.151,0.064,0.091,0.644,0.553,0.102,0.603,0.501,0.099,0.496,0.397,0.083,0.206,0.123,0.099
31,10,0.459,0.344,-0.115,0.074,0.64,0.566,0.076,0.87,0.794,0.878,0,-0.878,0.88,0.746,-0.134,0.066,1.489,1.423,0.156,0.122,-0.034,0.071,0.624,0.553,0.122,0.3,0.178,0.081,0.292,0.211,0.101,0.302,0.201,0.133
34,2,0.223,0.146,-0.077,0.108,0.213,0.105,0.079,0.954,0.875,0.227,0,-0.227,0.229,0.145,-0.084,0.09,0.661,0.571,0.139,0.07,-0.069,0.127,0.343,0.216,0.081,0.304,0.223,0.078,0.443,0.365,0.079,0.596,0.517,0.094
34,3,0.403,0.154,-0.249,0.116,0.481,0.365,0.078,0.36,0.282,0.21,0,-0.21,0.212,0.126,-0.086,0.098,0.303,0.205,0.139,0.094,-0.045,0.095,0.308,0.213,0.081,0.281,0.2,0.084,0.274,0.19,0.078,0.4,0.322,0.08
34,4,0.307,0.172,-0.135,0.111,0.716,0.605,0.071,0.679,0.608,0.208,0,-0.208,0.21,0.126,-0.084,0.067,0.923,0.856,0.126,0.065,-0.061,0.108,0.288,0.18,0.063,0.33,0.267,0.102,0.151,0.049,0.07,0.355,0.285,0.097
34,5,0.294,0.165,-0.129,0.11,0.183,0.073,0.088,0.314,0.226,0.307,0,-0.307,0.309,0.198,-0.111,0.074,0.5,0.426,0.121,0.06,-0.061,0.105,0.37,0.265,0.081,0.363,0.282,0.092,0.177,0.085,0.083,0.477,0.394,0.075
34,7,0.411,0.256,-0.155,0.1,0.389,0.289,0.086,0.406,0.32,0.24,0,-0.24,0.242,0.144,-0.098,0.078,0.356,0.278,0.123,0.057,-0.066,0.105,0.28,0.175,0.089,0.487,0.398,0.092,0.13,0.038,0.076,0.503,0.427,0.083
34,8,0.39,0.251,-0.139,0.095,0.242,0.147,0.078,0.447,0.369,0.244,0,-0.244,0.246,0.168,-0.078,0.087,0.347,0.26,0.098,0.034,-0.064,0.095,0.668,0.573,0.1,0.717,0.617,0.112,0.081,-0.031,0.083,0.307,0.224,0.097
